fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	neg_bagging_fraction	estimulos	ganancia	iteracion_bayesiana
20231127 153801	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	206	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.173525684336941	0.179318883329802	65	31321	0.161028246532922	13436	155300663.668166	32
20231127 154451	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	364	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.140399353604127	0.659839017394633	519	35445	0.134995636771769	12612	158358918.54073	33
20231127 154958	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	200	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.21394724631068	0.941382061998802	987	46893	0.313721847145046	12402	156405530.234883	34
20231127 155715	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	331	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.146654126974088	0.633823402221053	130	5205	0.6496808615129	10678	151087503.248376	35
20231127 160809	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	223	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.180146448666207	0.566486004716318	301	14212	0.788445298557531	10998	150199647.176412	36
20231127 161435	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	97	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.219541246171887	0.275398965248332	233	8825	0.0665949356631065	10758	154609122.438781	37
20231127 162230	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	445	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.122619205480645	0.180615520559826	623	38210	0.798276203780945	10178	160467363.318341	38
20231127 163315	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	84	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0239298553135548	0.5414679121533	671	17291	0.87675154031747	11708	150553425.287356	39
20231127 164652	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	432	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0832756279962348	0.505798006918306	354	25516	0.823409235780018	11151	157514374.312844	40
20231127 165257	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	204	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.272843447821121	0.159582422797171	275	5262	0.605607584024502	13199	134501032.983508	41
20231127 165702	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.207067719555471	0.78240578893422	862	25083	0.162242766673783	10602	147880992.503748	42
20231127 170234	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	234	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.173796494870249	0.737462215886808	708	42986	0.841536218366675	11454	155160110.944528	43
20231127 170701	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	114	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.24457554273852	0.113840271334533	254	6995	0.845196790398679	11190	150409850.074963	44
20231127 171312	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	124	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.121652622187972	0.678446535487287	887	10383	0.111826811388162	12929	156631632.683658	45
20231127 172129	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	202	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0230555494362661	0.251753909489283	506	41763	0.344121018640006	12383	150087335.832084	46
20231127 173144	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	727	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.116916029698535	0.842149958396247	946	29121	0.438942173319501	10982	153907989.005497	47
20231127 173654	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	149	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.179094049253697	0.167192028237801	367	27786	0.879872440722019	10535	155906634.182909	48
20231127 174653	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	235	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.123301094519353	0.456289782313072	679	21818	0.741733828098675	11553	157476726.136932	49
20231127 175115	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	15	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.164708562681875	0.698954283145645	886	18853	0.231547108827871	14768	145229017.491254	50
20231127 175904	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	769	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.127813970846763	0.0842310673795901	236	48395	0.307726484561974	11537	155218171.414293	51
20231127 180802	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	508	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0592312972190952	0.911693347542453	814	24556	0.0989179582589458	11980	156050044.977511	52
